method,accuracy,balanced_accuracy,ARI,NMI,macro_f1,weighted_f1,n_cells
guidedpls_germlayer,0.6087,0.42865561172296796,0.4809587555126735,0.517847740758195,0.41833884410927574,0.5791830203649159,10000
seurat,0.8666,0.83312752899799,0.7354379377166265,0.7246327635958658,0.8622479549041681,0.8661899253705793,10000
harmony,0.3167,0.4224473867822246,0.21349982528508388,0.41158071184621164,0.2532396838261864,0.3078560883133582,10000
scanorama,0.4763,0.4249381130322551,0.3553602489891668,0.461567010558948,0.35699106449232726,0.43504157478169553,10000
